IdVenta,IdProducto,IdMoneda,idFecha,IdPuerto,IdTipoVenta,idCliente,base_imponible,impuesto,total,idreferencia
44,475,2,29/03/2021 00:19,9,3,7,3402,0,3402,_60L00OSA525567
45,476,2,29/03/2021 00:19,9,3,7,2030,0,2030,_60L00OSA525567
46,477,2,29/03/2021 00:19,9,3,7,6734,0,6734,_60L00OSA525567
47,478,2,29/03/2021 00:19,9,3,7,5390,0,5390,_60L00OSA525567
48,479,2,29/03/2021 00:19,9,3,7,3472,0,3472,_60L00OSA525567
49,480,2,29/03/2021 00:19,9,3,7,4704,0,4704,_60L00OSA525567
64,154,2,5/04/2021 10:39,9,3,7,3696,0,3696,_60T0MTV3T8037
65,473,2,5/04/2021 10:39,9,3,7,5054,0,5054,_60T0MTV3T8037
66,474,2,5/04/2021 10:39,9,3,7,1218,0,1218,_60T0MTV3T8037
67,475,2,5/04/2021 10:39,9,3,7,3220,0,3220,_60T0MTV3T8037
68,476,2,5/04/2021 10:39,9,3,7,3052,0,3052,_60T0MTV3T8037
69,477,2,5/04/2021 10:39,9,3,7,7840,0,7840,_60T0MTV3T8037
70,478,2,5/04/2021 10:39,9,3,7,7056,0,7056,_60T0MTV3T8037
114,473,2,10/04/2021 10:10,9,3,7,1568,0,1568,_6110LSXEI25567
115,474,2,10/04/2021 10:10,9,3,7,784,0,784,_6110LSXEI25567
116,475,2,10/04/2021 10:10,9,3,7,7840,0,7840,_6110LSXEI25567
117,476,2,10/04/2021 10:10,9,3,7,6272,0,6272,_6110LSXEI25567
118,477,2,10/04/2021 10:10,9,3,7,7840,0,7840,_6110LSXEI25567
119,478,2,10/04/2021 10:10,9,3,7,7840,0,7840,_6110LSXEI25567
180,473,2,19/04/2021 10:07,9,3,7,17248,0,17248,_6170LPCKU25567
181,475,2,19/04/2021 10:07,9,3,7,3136,0,3136,_6170LPCKU25567
182,476,2,19/04/2021 10:07,9,3,7,4704,0,4704,_6170LPCKU25567
183,477,2,19/04/2021 10:07,9,3,7,1568,0,1568,_6170LPCKU25567
184,478,2,19/04/2021 10:07,9,3,7,4704,0,4704,_6170LPCKU25567
185,479,2,19/04/2021 10:07,9,3,7,784,0,784,_6170LPCKU25567
207,151,2,20/04/2021 10:23,9,3,7,616,0,616,_6170MA2JT25567
208,152,2,20/04/2021 10:23,9,3,7,3696,0,3696,_6170MA2JT25567
209,153,2,20/04/2021 10:23,9,3,7,2464,0,2464,_6170MA2JT25567
210,154,2,20/04/2021 10:23,9,3,7,11088,0,11088,_6170MA2JT25567
211,155,2,20/04/2021 10:23,9,3,7,7392,0,7392,_6170MA2JT25567
522,150,2,8/05/2021 18:04,9,3,7,341,0,341,_61P12QNSJ25567
523,156,2,8/05/2021 18:04,9,3,7,3300,0,3300,_61P12QNSJ25567
524,157,2,8/05/2021 18:04,9,3,7,2002,0,2002,_61P12QNSJ25567
525,339,2,8/05/2021 18:04,9,3,7,275,0,275,_61P12QNSJ25567
526,345,2,8/05/2021 18:04,9,3,7,9020,0,9020,_61P12QNSJ25567
527,346,2,8/05/2021 18:04,9,3,7,10318,0,10318,_61P12QNSJ25567
605,955,2,19/05/2021 12:09,9,3,7,2088,0,2088,_6230Q1I6P25567
606,964,2,19/05/2021 12:09,9,3,7,8472,0,8472,_6230Q1I6P25567
607,965,2,19/05/2021 12:09,9,3,7,3080,0,3080,_6230Q1I6P25567
608,966,2,19/05/2021 12:09,9,3,7,7992,0,7992,_6230Q1I6P25567
609,968,2,19/05/2021 12:09,9,3,7,5032,0,5032,_6230Q1I6P25567
610,971,2,19/05/2021 12:09,9,3,7,1212.96,0,1212.96,_6230Q1I6P25567
611,972,2,19/05/2021 12:09,9,3,7,1212.96,0,1212.96,_6230Q1I6P25567
612,973,2,19/05/2021 12:09,9,3,7,2425.92,0,2425.92,_6230Q1I6P25567
613,977,2,19/05/2021 12:09,9,3,7,568,0,568,_6230Q1I6P25567
614,978,2,19/05/2021 12:09,9,3,7,1128,0,1128,_6230Q1I6P25567
615,980,2,19/05/2021 12:09,9,3,7,440,0,440,_6230Q1I6P25567
945,991,2,14/06/2021 17:30,9,3,7,23968,0,23968,_62P11J3VG25567
946,992,2,14/06/2021 17:30,9,3,7,7490.56,0,7490.56,_62P11J3VG25567
947,1042,2,14/06/2021 17:30,9,3,7,1920,0,1920,_62P11J3VG25567
1025,953,2,24/06/2021 12:52,9,3,7,526.68,0,526.68,_62Y0RLN2G623
1026,955,2,24/06/2021 12:52,9,3,7,145.92,0,145.92,_62Y0RLN2G623
1027,956,2,24/06/2021 12:52,9,3,7,208,0,208,_62Y0RLN2G623
1028,957,2,24/06/2021 12:52,9,3,7,1751.04,0,1751.04,_62Y0RLN2G623
1029,958,2,24/06/2021 12:52,9,3,7,1307.2,0,1307.2,_62Y0RLN2G623
1030,959,2,24/06/2021 12:52,9,3,7,474.24,0,474.24,_62Y0RLN2G623
1031,963,2,24/06/2021 12:52,9,3,7,1240,0,1240,_62Y0RLN2G623
1032,964,2,24/06/2021 12:52,9,3,7,5119.36,0,5119.36,_62Y0RLN2G623
1033,965,2,24/06/2021 12:52,9,3,7,3803.8,0,3803.8,_62Y0RLN2G623
1034,966,2,24/06/2021 12:52,9,3,7,528,0,528,_62Y0RLN2G623
1035,970,2,24/06/2021 12:52,9,3,7,547.2,0,547.2,_62Y0RLN2G623
1036,971,2,24/06/2021 12:52,9,3,7,3160.08,0,3160.08,_62Y0RLN2G623
1037,972,2,24/06/2021 12:52,9,3,7,1386.24,0,1386.24,_62Y0RLN2G623
1038,974,2,24/06/2021 12:52,9,3,7,616,0,616,_62Y0RLN2G623
1039,975,2,24/06/2021 12:52,9,3,7,1690.24,0,1690.24,_62Y0RLN2G623
1040,976,2,24/06/2021 12:52,9,3,7,808,0,808,_62Y0RLN2G623
1041,1012,2,24/06/2021 12:52,9,3,7,36.48,0,36.48,_62Y0RLN2G623
1042,1015,2,24/06/2021 12:52,9,3,7,2012.48,0,2012.48,_62Y0RLN2G623
1043,1017,2,24/06/2021 12:52,9,3,7,1208,0,1208,_62Y0RLN2G623
1044,1018,2,24/06/2021 12:52,9,3,7,202.24,0,202.24,_62Y0RLN2G623
1045,1020,2,24/06/2021 12:52,9,3,7,112,0,112,_62Y0RLN2G623
