IdProducto,NombreProducto,Cultivo,Variedad,Calibre,Peso
640,CAJA PLASTICA CON PALTA HASS FRESCA *10KG. [ GENERICA] [ CAL. 26 ] [ C/GAP ] - CAT 1 ( NORTE ),PALTA,PALTA HASS FRESCA,CALIBRE 26,10
641,CAJA PLASTICA CON PALTA HASS FRESCA *10KG. [ GENERICA] [ CAL. 28 ] [ C/GAP ] - CAT 1 ( NORTE ),PALTA,PALTA HASS FRESCA,CALIBRE 28,10
642,CAJA PLASTICA CON PALTA HASS FRESCA *10KG. [ GENERICA] [ CAL. 30 ] [ C/GAP ] - CAT 1 ( NORTE ),PALTA,PALTA HASS FRESCA,CALIBRE 30,10
643,CAJA PLASTICA CON PALTA HASS FRESCA *10KG. [ GENERICA] [ CAL. 32 ] [ C/GAP ] - CAT 1 ( NORTE ),PALTA,PALTA HASS FRESCA,CALIBRE 32,10
644,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG. [ GENERICA ] [ CAL. 26 ] [ C/GAP/GRAPS/SMETA ] - CAT 1 (,PALTA,PALTA HASS FRESCA,CALIBRE 26,10
645,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG. [ GENERICA ] [ CAL. 28 ] [ C/GAP/GRAPS/SMETA ] - CAT 1 (,PALTA,PALTA HASS FRESCA,CALIBRE 28,10
646,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG. [ GENERICA ] [ CAL. 30 ] [ C/GAP/GRAPS/SMETA ] - CAT 1 (,PALTA,PALTA HASS FRESCA,CALIBRE 30,10
647,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG. [ GENERICA ] [ CAL. 32 ] [ C/GAP/GRAPS/SMETA ] - CAT 1 (,PALTA,PALTA HASS FRESCA,CALIBRE 32,10
648,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG [GENERICA] [CAL .26] - CAT 1 ( NORTE ),PALTA,PALTA HASS FRESCA,CALIBRE 26,10
649,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG [GENERICA] [CAL .28] - CAT 1 ( NORTE ),PALTA,PALTA HASS FRESCA,CALIBRE 28,10
650,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG [GENERICA] [CAL . 30] - CAT 1 ( NORTE ),PALTA,PALTA HASS FRESCA,CALIBRE 30,10
651,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG [GENERICA] [CAL . 32] - CAT 1 ( NORTE ),PALTA,PALTA HASS FRESCA,CALIBRE 32,10
652,CAJA PLASTICA  CON PALTA HASS FRESCA *10KG. [ GENERICA] [ CAL. 26 ] [ C/GAP ] - CAT 1* ( NORTE ),PALTA,PALTA HASS FRESCA,CALIBRE 26,10
653,CAJA PLASTICA  CON PALTA HASS FRESCA *10KG. [ GENERICA] [ CAL. 28 ] [ C/GAP ] - CAT 1* ( NORTE ),PALTA,PALTA HASS FRESCA,CALIBRE 28,10
654,CAJA PLASTICA  CON PALTA HASS FRESCA *10KG. [ GENERICA] [ CAL. 30 ] [ C/GAP ] - CAT 1* ( NORTE ),PALTA,PALTA HASS FRESCA,CALIBRE 30,10
655,CAJA PLASTICA  CON PALTA HASS FRESCA *10KG. [ GENERICA] [ CAL. 32 ] [ C/GAP ] - CAT 1* ( NORTE ),PALTA,PALTA HASS FRESCA,CALIBRE 32,10
656,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG. [ GENERICA ] [ CAL. 26 ] [ C/GAP/GRAPS/SMETA ] - CAT 1*,PALTA,PALTA HASS FRESCA,CALIBRE 26,10
657,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG. [ GENERICA ] [ CAL. 28 ] [ C/GAP/GRAPS/SMETA ] - CAT 1*,PALTA,PALTA HASS FRESCA,CALIBRE 28,10
658,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG. [ GENERICA ] [ CAL. 30 ] [ C/GAP/GRAPS/SMETA ] - CAT 1*,PALTA,PALTA HASS FRESCA,CALIBRE 30,10
659,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG. [ GENERICA ] [ CAL.  32 ] [ C/GAP/GRAPS/SMETA ] - CAT 1*,PALTA,PALTA HASS FRESCA,CALIBRE 32,10
660,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG [GENERICA] [CAL .26] - CAT 2 ( NORTE ),PALTA,PALTA HASS FRESCA,CALIBRE 26,10
661,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG [GENERICA] [CAL .28] - CAT 2 ( NORTE ),PALTA,PALTA HASS FRESCA,CALIBRE 28,10
662,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG [GENERICA] [CAL . 30] - CAT 2 ( NORTE ),PALTA,PALTA HASS FRESCA,CALIBRE 30,10
663,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG [GENERICA] [CAL . 32] - CAT 2 ( NORTE ),PALTA,PALTA HASS FRESCA,CALIBRE 32,10
664,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG. [ GENERICA ] [ CAL. 26 ] [ C/GAP/GRAPS/SMETA ] - CAT 2 (,PALTA,PALTA HASS FRESCA,CALIBRE 26,10
681,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG. [ GENERICA ] [ CAL. 14 ] - CAT 1 ( NORTE ),PALTA,PALTA HASS FRESCA,CALIBRE 14,10
682,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG. [ GENERICA ] [ CAL. 16 ] - CAT 1 ( NORTE ),PALTA,PALTA HASS FRESCA,CALIBRE 16,10
683,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG. [ GENERICA ] [ CAL. 18 ] - CAT 1 ( NORTE ),PALTA,PALTA HASS FRESCA,CALIBRE 18,10
684,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG. [ GENERICA ] [ CAL. 20 ] - CAT 1 ( NORTE ),PALTA,PALTA HASS FRESCA,CALIBRE 20,10
685,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG. [ GENERICA ] [ CAL. 22 ] - CAT 1 ( NORTE ),PALTA,PALTA HASS FRESCA,CALIBRE 22,10
686,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG. [ GENERICA ] [ CAL. 24 ] - CAT 1 ( NORTE ),PALTA,PALTA HASS FRESCA,CALIBRE 24,10
687,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG. [ GENERICA ] [ CAL. 18 ] [ C/GAP/GRAPS/SMETA ] - CAT 1*,PALTA,PALTA HASS FRESCA,CALIBRE 18,10
688,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG. [ GENERICA ] [ CAL. 20 ] [ C/GAP/GRAPS/SMETA ] - CAT 1*,PALTA,PALTA HASS FRESCA,CALIBRE 20,10
689,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG. [ GENERICA ] [ CAL. 22 ] [ C/GAP/GRAPS/SMETA ] - CAT 1*,PALTA,PALTA HASS FRESCA,CALIBRE 22,10
690,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG. [ GENERICA ] [ CAL. 24 ] [ C/GAP/GRAPS/SMETA ] - CAT 1*,PALTA,PALTA HASS FRESCA,CALIBRE 24,10
691,CAJA CARTON CON PALTA HASS FRESCA *10 KG. [ GENERICA ] [CAL. 26] [ C/GAP/GRASP/SMETA ] - CAT 1 ( NOR,PALTA,PALTA HASS FRESCA,CALIBRE 26,10
692,CAJA CARTON CON PALTA HASS FRESCA *10 KG. [ GENERICA ] [CAL. 28] [ C/GAP/GRASP/SMETA ] - CAT 1 ( NOR,PALTA,PALTA HASS FRESCA,CALIBRE 28,10
693,CAJA CARTON CON PALTA HASS FRESCA *10 KG. [ GENERICA ] [CAL. 30] [ C/GAP/GRASP/SMETA ] - CAT 1 ( NOR,PALTA,PALTA HASS FRESCA,CALIBRE 30,10
694,CAJA CARTON CON PALTA HASS FRESCA *10 KG. [ GENERICA ] [CAL. 32] [ C/GAP/GRASP/SMETA ] - CAT 1 ( NOR,PALTA,PALTA HASS FRESCA,CALIBRE 32,10
774,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG [GENERICA] [CAL .26] - CAT 1* ( SUR ),PALTA,PALTA HASS FRESCA,CALIBRE 26,10
775,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG [GENERICA] [CAL .28] - CAT 1 *( SUR ),PALTA,PALTA HASS FRESCA,CALIBRE 28,10
776,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG [GENERICA] [CAL . 30] - CAT 1* ( SUR ),PALTA,PALTA HASS FRESCA,CALIBRE 30,10
777,CAJA PLASTICA  CON PALTA HASS FRESCA *10KG. [ GENERICA] [ CAL. 26 ] [ C/GAP ] - CAT 1* ( SUR ),PALTA,PALTA HASS FRESCA,CALIBRE 26,10
778,CAJA PLASTICA CON PALTA HASS FRESCA *10KG. [ GENERICA] [ CAL. 28 ] [ C/GAP ] - CAT 1* ( SUR ),PALTA,PALTA HASS FRESCA,CALIBRE 28,10
779,CAJA PLASTICA  CON PALTA HASS FRESCA *10KG. [ GENERICA] [ CAL. 30 ] [ C/GAP ] - CAT 1* ( SUR ),PALTA,PALTA HASS FRESCA,CALIBRE 30,10
780,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG [GENERICA] [CAL .26] - CAT 1 ( SUR ),PALTA,PALTA HASS FRESCA,CALIBRE 26,10
781,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG [GENERICA] [CAL .28] - CAT 1 ( SUR ),PALTA,PALTA HASS FRESCA,CALIBRE 28,10
782,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG [GENERICA] [CAL . 30] - CAT 1 ( SUR ),PALTA,PALTA HASS FRESCA,CALIBRE 30,10
783,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG [GENERICA] [CAL . 32] - CAT 1 ( SUR ),PALTA,PALTA HASS FRESCA,CALIBRE 32,10
784,CAJA PLASTICA  CON PALTA HASS FRESCA *10KG. [ GENERICA] [ CAL. 32 ] [ C/GAP ] - CAT I ( SUR ),PALTA,PALTA HASS FRESCA,CALIBRE 32,10
785,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG [GENERICA] [CAL .26] - CAT 2 ( SUR ),PALTA,PALTA HASS FRESCA,CALIBRE 26,10
786,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG [GENERICA] [CAL .28] - CAT 2 ( SUR ),PALTA,PALTA HASS FRESCA,CALIBRE 28,10
787,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG [GENERICA] [CAL . 30] - CAT 2 ( SUR ),PALTA,PALTA HASS FRESCA,CALIBRE 30,10
788,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG [GENERICA] [CAL . 32] - CAT 2 ( SUR ),PALTA,PALTA HASS FRESCA,CALIBRE 32,10
789,CAJA PLASTICA CON PALTA HASS FRESCA *10KG. [ GENERICA] [ CAL. 26 ] [ C/GAP ] - CAT 2 ( SUR ),PALTA,PALTA HASS FRESCA,CALIBRE 26,10
790,CAJA PLASTICA  CON PALTA HASS FRESCA *10KG. [ GENERICA] [ CAL. 28 ] [ C/GAP ] - CAT 2 ( SUR ),PALTA,PALTA HASS FRESCA,CALIBRE 28,10
791,CAJA PLASTICA CON PALTA HASS FRESCA *10KG. [ GENERICA] [ CAL. 30 ] [ C/GAP ] - CAT 2 ( SUR ),PALTA,PALTA HASS FRESCA,CALIBRE 30,10
816,CAJA PLASTICA CON PALTA HASS FRESCA *10KG. [ GENERICA] [ CAL. 12 ] [ C/GAP ] - CAT 1 ( SUR ),PALTA,PALTA HASS FRESCA,CALIBRE 12,10
817,CAJA PLASTICA CON PALTA HASS FRESCA *10KG. [ GENERICA] [ CAL. 10 ] [ C/GAP ] - CAT 1 ( SUR ),PALTA,PALTA HASS FRESCA,CALIBRE 10,10
825,CAJA PLASTICA CON PALTA HASS FRESCA *10KG. [ GENERICA] [ CAL. 12 ] [ C/GAP ] - CAT 2 ( SUR ),PALTA,PALTA HASS FRESCA,CALIBRE 12,10
826,CAJA PLASTICA CON PALTA HASS FRESCA *10KG. [ GENERICA] [ CAL. 14 ] [ C/GAP ] - CAT 2 ( SUR ),PALTA,PALTA HASS FRESCA,CALIBRE 14,10
827,CAJA PLASTICA CON PALTA HASS FRESCA *10KG. [ GENERICA] [ CAL. 16 ] [ C/GAP ] - CAT 2 ( SUR ),PALTA,PALTA HASS FRESCA,CALIBRE 16,10
828,CAJA PLASTICA CON PALTA HASS FRESCA *10KG. [ GENERICA] [ CAL. 22 ] [ C/GAP ] - CAT 2 ( SUR ),PALTA,PALTA HASS FRESCA,CALIBRE 22,10
829,CAJA PLASTICA CON PALTA HASS FRESCA *10KG. [ GENERICA] [ CAL. 24 ] [ C/GAP ] - CAT 2 ( SUR ),PALTA,PALTA HASS FRESCA,CALIBRE 24,10
830,CAJA PLASTICA CON PALTA HASS FRESCA *10KG. [ GENERICA] [ CAL. 18 ] [ C/GAP ] - CAT 2 ( SUR ),PALTA,PALTA HASS FRESCA,CALIBRE 18,10
831,CAJA PLASTICA CON PALTA HASS FRESCA *10KG. [ GENERICA] [ CAL. 20 ] [ C/GAP ] - CAT 2 ( SUR ),PALTA,PALTA HASS FRESCA,CALIBRE 20,10
833,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG [GENERICA] [CAL .12] - CAT 2 ( SUR ),PALTA,PALTA HASS FRESCA,CALIBRE 12,10
834,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG [GENERICA] [CAL .14] - CAT 2 ( SUR ),PALTA,PALTA HASS FRESCA,CALIBRE 14,10
835,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG [GENERICA] [CAL .16] - CAT 2 ( SUR ),PALTA,PALTA HASS FRESCA,CALIBRE 16,10
836,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG [GENERICA] [CAL .18] - CAT 2 ( SUR ),PALTA,PALTA HASS FRESCA,CALIBRE 18,10
837,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG [GENERICA] [CAL .20] - CAT 2 ( SUR ),PALTA,PALTA HASS FRESCA,CALIBRE 20,10
838,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG [GENERICA] [CAL .22] - CAT 2 ( SUR ),PALTA,PALTA HASS FRESCA,CALIBRE 22,10
839,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG [GENERICA] [CAL .24] - CAT 2 ( SUR ),PALTA,PALTA HASS FRESCA,CALIBRE 24,10
846,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG [GENERICA] [CAL .10] - CAT 1 ( SUR ),PALTA,PALTA HASS FRESCA,CALIBRE 10,10
847,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG [GENERICA] [CAL .12] - CAT 1 ( SUR ),PALTA,PALTA HASS FRESCA,CALIBRE 12,10
848,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG [GENERICA] [CAL .14] - CAT 1 ( SUR ),PALTA,PALTA HASS FRESCA,CALIBRE 14,10
849,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG [GENERICA] [CAL .16] - CAT 1 ( SUR ),PALTA,PALTA HASS FRESCA,CALIBRE 16,10
850,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG [GENERICA] [CAL .18] - CAT 1 ( SUR ),PALTA,PALTA HASS FRESCA,CALIBRE 18,10
851,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG [GENERICA] [CAL .20] - CAT 1 ( SUR ),PALTA,PALTA HASS FRESCA,CALIBRE 20,10
852,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG [GENERICA] [CAL .22] - CAT 1 ( SUR ),PALTA,PALTA HASS FRESCA,CALIBRE 22,10
853,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG [GENERICA] [CAL .24] - CAT 1 ( SUR ),PALTA,PALTA HASS FRESCA,CALIBRE 24,10
854,CAJA PLASTICA CON PALTA HASS FRESCA *10KG. [ GENERICA] [ CAL. 14 ] [ C/GAP ] - CAT 1 ( SUR ),PALTA,PALTA HASS FRESCA,CALIBRE 14,10
855,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG [GENERICA] [CAL .10] - CAT 2 ( SUR ),PALTA,PALTA HASS FRESCA,CALIBRE 10,10
857,CAJA PLASTICA CON PALTA HASS FRESCA *10KG. [ GENERICA] [ CAL. 20 ] [ C/GAP ] - CAT 1 ( SUR ),PALTA,PALTA HASS FRESCA,CALIBRE 20,10
861,CAJA PLÁSTICA CON PALTA HASS FRESCA * 10 KG. [PLÁSTICA] R [CAL. 10] - CAT 1 ( SUR ),PALTA,PALTA HASS FRESCA,CALIBRE 10,10
874,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG [GENERICA] [CAL .26] - CAT 1* ( SUR )-MU,PALTA,PALTA HASS FRESCA,CALIBRE 26,10
875,CAJA PLASTICA CON PALTA HASS FRESCA *10KG. [ GENERICA] [ CAL. 26 ] [ C/GAP ] - CAT 1* ( SUR )-MU,PALTA,PALTA HASS FRESCA,CALIBRE 26,10
876,CAJA PLASTICA CON PALTA HASS FRESCA *10KG. [ GENERICA] [ CAL. 28 ] [ C/GAP ] - CAT 1* ( SUR )-MU,PALTA,PALTA HASS FRESCA,CALIBRE 28,10
877,CAJA PLASTICA CON PALTA HASS FRESCA *10KG. [ GENERICA] [ CAL. 30 ] [ C/GAP ] - CAT 1* ( SUR )-MU,PALTA,PALTA HASS FRESCA,CALIBRE 30,10
878,CAJA PLASTICA CON PALTA HASS FRESCA *10 KG [GENERICA] [CAL .26] - CAT 2 ( SUR )-MU,PALTA,PALTA HASS FRESCA,CALIBRE 26,10
879,CAJA PLASTICA CON PALTA HASS FRESCA *10KG. [ GENERICA] [ CAL. 26 ] [ C/GAP ] - CAT 2 ( SUR )-MU,PALTA,PALTA HASS FRESCA,CALIBRE 26,10
880,CAJA PLASTICA CON PALTA HASS FRESCA *10KG. [ GENERICA] [ CAL. 28 ] [ C/GAP ] - CAT 2 ( SUR )-MU,PALTA,PALTA HASS FRESCA,CALIBRE 28,10
890,CAJA PLASTICA CON PALTA HASS FRESCA *10KG. [ GENERICA] [ CAL. 12 ] [ C/GAP ] - CAT 1 ( SUR )-MU,PALTA,PALTA HASS FRESCA,CALIBRE 12,10
891,CAJA PLASTICA CON PALTA HASS FRESCA *10KG. [ GENERICA] [ CAL. 10 ] [ C/GAP ] - CAT 1 ( SUR )-MU,PALTA,PALTA HASS FRESCA,CALIBRE 10,10
896,CAJA PLASTICA CON PALTA HASS FRESCA *10KG. [ GENERICA] [ CAL. 12 ] [ C/GAP ] - CAT 2 ( SUR )-MU,PALTA,PALTA HASS FRESCA,CALIBRE 12,10
897,CAJA PLASTICA CON PALTA HASS FRESCA *10KG. [ GENERICA] [ CAL. 14 ] [ C/GAP ] - CAT 2 ( SUR )-MU,PALTA,PALTA HASS FRESCA,CALIBRE 14,10
898,CAJA PLASTICA CON PALTA HASS FRESCA *10KG. [ GENERICA] [ CAL. 16 ] [ C/GAP ] - CAT 2 ( SUR )-MU,PALTA,PALTA HASS FRESCA,CALIBRE 16,10
899,CAJA PLASTICA CON PALTA HASS FRESCA *10KG. [ GENERICA] [ CAL. 22 ] [ C/GAP ] - CAT 2 ( SUR )-MU,PALTA,PALTA HASS FRESCA,CALIBRE 22,10
900,CAJA PLASTICA CON PALTA HASS FRESCA *10KG. [ GENERICA] [ CAL. 24 ] [ C/GAP ] - CAT 2 ( SUR )-MU,PALTA,PALTA HASS FRESCA,CALIBRE 24,10
