IdPuerto,Puerto,Pais
1,PHILADELPHIA,U.S.A
2,MIAMI,U.S.A
3,LOS ANGELES,U.S.A
4,LONG BEACH,U.S.A
5,PORT EVERGRADES,U.S.A
6,TORONTO,CANADA
7,VANCOUVER,CANADA
8,MONTREAL,CANADA
9,ROTTERDAM,HOLANDA
10,VLISSINGEN,HOLANDA
11,HAMBURGO,ALEMANIA
12,LONDON GATEWAY,INGLATERRA
13,DOVER,INGLATERRA
14,TILBURY,INGLATERRA
15,SAINT PETERSBURG,RUSIA
16,ALGECIRAS,ESPAÑA
17,DUBLIN,IRLANDA
18,ARICA,CHILE
19,SAN ANTONIO,CHILE
20,VALPARAISO,CHILE
21,MENDOZA,ARGENTINA
22,BALBOA,PANAMA
23,JEDDAH,ARABIA SAUDI
24,KING ABDULLAH,ARABIA SAUDI
25,SURABAYA,INDONESIA
26,AQABA,JORDANIA
27,ARICA,CHILE
28,GULFPORT,U.S.A.
29,SALALAH,OMAN
30,SANTIAGO,CHILE
31,MADRID,ESPAÑA
32,HOUSTON,U.S.A
33,SAVANNAH,U.S.A.
34,RODMAN,PANAMA
