DIM CALIBRE.CALIBRE,DIM CAMPANIA.CAMPANIA,DIM CLIENTE.CLIENTE,DIM CONSIGNATARIO.CONSIGNATARIO,DIM CONTENEDOR.CONTENEDOR,DIM ETIQUETA.ETIQUETA,DIM FECHA ARRIBO.FECHA,DIM FECHA CARGA.FECHA,DIM FECHA LLEGADA DESTINO.FECHA,DIM FECHA PARTIDA.FECHA,DIM MARCA.MARCA,DIM MONEDA ORIGEN.MONEDA ORIGEN,DIM NAVIERA.NAVIERA,DIM NROPACKINGLIST.NROPACKINGLIST,DIM OBSERVACIONES.OBSERVACIONES,DIM PAIS.PAIS,DIM PUERTO DESTINO.PUERTO DESTINO,DIM SEMANA CARGA.SEMANA CARGA,DIM SEMANA VENTA.SEMANA VENTA,DIM VARIEDAD.VARIEDAD,CANTIDAD,DIAS ATRASO,FOT RBT,LIQUIDACION,PESO,PRECIO FOB,PRECIO VENTA,Recuento FACT COMERCIAL,TIEMPO TRANSITO ESTIMADO,TIEMPO TRANSITO REAL,DIAS ATRASO CALCULADO,FLAG A TIEMPO,DIM ENVASE.ENVASE,PESO UN,FOT 8.2 CALIBRE
100,N/D,"RIVERKING INTERNATIONAL CO., LTD",N/D,N/D,N/D,1/01/1900,1/01/1900,1/01/1900,1/01/1900,N/D,DOLARES AMERICANOS,N/D,FEX FE01-0000179,N/D,N/D,CHINA,0,29,RED GLOBE,114,0,0,0,934.8,15.569,22.184,1,0,0,0,A TIEMPO,MAD.8.2/114,8.2,114
100,N/D,"RIVERKING INTERNATIONAL CO., LTD",N/D,N/D,N/D,1/01/1900,1/01/1900,1/01/1900,1/01/1900,N/D,DOLARES AMERICANOS,N/D,FEX FE01-0000205,N/D,N/D,CHINA,0,29,RED GLOBE,114,0,0,0,934.8,15.101,21.442,1,0,0,0,A TIEMPO,MAD.8.2/114,8.2,114
100,N/D,"RIVERKING INTERNATIONAL CO., LTD",N/D,N/D,N/D,1/01/1900,1/01/1900,1/01/1900,1/01/1900,N/D,DOLARES AMERICANOS,N/D,FEX FE01-0000221,N/D,N/D,CHINA,0,29,RED GLOBE,114,0,0,0,934.8,23.717,31.25,1,0,0,0,A TIEMPO,MAD.8.2/114,8.2,114
100,N/D,"RIVERKING INTERNATIONAL CO., LTD",N/D,N/D,N/D,1/01/1900,1/01/1900,1/01/1900,1/01/1900,N/D,DOLARES AMERICANOS,N/D,FEX FE01-0000236,N/D,N/D,CHINA,0,29,RED GLOBE,114,0,0,0,934.8,22.35,29.55,1,0,0,0,A TIEMPO,MAD.8.2/114,8.2,114
100,N/D,"RIVERKING INTERNATIONAL CO., LTD",N/D,N/D,N/D,1/01/1900,1/01/1900,1/01/1900,1/01/1900,N/D,DOLARES AMERICANOS,N/D,FEX FE01-0000237,N/D,N/D,CHINA,0,29,RED GLOBE,114,0,0,0,934.8,22.695,30.38,1,0,0,0,A TIEMPO,MAD.8.2/114,8.2,114
100,N/D,"RIVERKING INTERNATIONAL CO., LTD",N/D,N/D,N/D,1/01/1900,1/01/1900,1/01/1900,1/01/1900,N/D,DOLARES AMERICANOS,N/D,FEX FE01-0000294,N/D,N/D,CHINA,0,29,RED GLOBE,114,0,0,0,934.8,19.446,26.563,1,0,0,0,A TIEMPO,MAD.8.2/114,8.2,114
100,N/D,"RIVERKING INTERNATIONAL CO., LTD",N/D,N/D,N/D,1/01/1900,1/01/1900,1/01/1900,1/01/1900,N/D,DOLARES AMERICANOS,N/D,FEX FE01-0000301,N/D,N/D,CHINA,0,29,RED GLOBE,114,0,0,0,934.8,18.701,26.563,1,0,0,0,A TIEMPO,MAD.8.2/114,8.2,114
100,N/D,"RIVERKING INTERNATIONAL CO., LTD",N/D,N/D,N/D,1/01/1900,1/01/1900,1/01/1900,1/01/1900,N/D,DOLARES AMERICANOS,N/D,FEX FE01-0000303,N/D,N/D,CHINA,0,29,RED GLOBE,114,0,0,0,934.8,17.453,24.318,1,0,0,0,A TIEMPO,MAD.8.2/114,8.2,114
100,N/D,"RIVERKING INTERNATIONAL CO., LTD",N/D,N/D,N/D,1/01/1900,1/01/1900,1/01/1900,1/01/1900,N/D,DOLARES AMERICANOS,N/D,FEX FE01-0000304,N/D,N/D,CHINA,0,29,RED GLOBE,114,0,0,0,934.8,16.635,23.569,1,0,0,0,A TIEMPO,MAD.8.2/114,8.2,114
100,N/D,"RIVERKING INTERNATIONAL CO., LTD",N/D,N/D,N/D,1/01/1900,1/01/1900,1/01/1900,1/01/1900,N/D,DOLARES AMERICANOS,N/D,RG - 127,N/D,N/D,CHINA,0,29,RED GLOBE,114,0,0,0,934.8,26.545,34.629,1,0,0,0,A TIEMPO,MAD.8.2/114,8.2,114
100,N/D,"RIVERKING INTERNATIONAL CO., LTD",N/D,N/D,N/D,1/01/1900,1/01/1900,1/01/1900,1/01/1900,N/D,DOLARES AMERICANOS,N/D,RG - 152,N/D,N/D,CHINA,0,29,RED GLOBE,114,0,0,0,934.8,21.895,29.273,1,0,0,0,A TIEMPO,MAD.8.2/114,8.2,114
100,N/D,"RIVERKING INTERNATIONAL CO., LTD",N/D,N/D,N/D,1/01/1900,1/01/1900,1/01/1900,1/01/1900,N/D,DOLARES AMERICANOS,N/D,RG - 167,N/D,N/D,CHINA,0,29,RED GLOBE,114,0,0,0,934.8,16.273,22.889,1,0,0,0,A TIEMPO,MAD.8.2/114,8.2,114
100,N/D,"RIVERKING INTERNATIONAL CO., LTD",N/D,N/D,N/D,1/01/1900,1/01/1900,1/01/1900,1/01/1900,N/D,DOLARES AMERICANOS,N/D,RG - 171,N/D,N/D,CHINA,0,29,RED GLOBE,114,0,0,0,934.8,19.289,26.397,1,0,0,0,A TIEMPO,MAD.8.2/114,8.2,114
100,N/D,"RIVERKING INTERNATIONAL CO., LTD",N/D,N/D,N/D,1/01/1900,1/01/1900,1/01/1900,1/01/1900,N/D,DOLARES AMERICANOS,N/D,RG - 186,N/D,N/D,CHINA,0,29,RED GLOBE,114,0,0,0,934.8,15.268,22.964,1,0,0,0,A TIEMPO,MAD.8.2/114,8.2,114
100,N/D,"RIVERKING INTERNATIONAL CO., LTD",N/D,N/D,N/D,1/01/1900,1/01/1900,1/01/1900,1/01/1900,N/D,DOLARES AMERICANOS,N/D,RG - 189,N/D,N/D,CHINA,0,29,RED GLOBE,114,0,0,0,934.8,15.541,22.938,1,0,0,0,A TIEMPO,MAD.8.2/114,8.2,114
100,N/D,"RIVERKING INTERNATIONAL CO., LTD",N/D,N/D,N/D,1/01/1900,1/01/1900,1/01/1900,1/01/1900,N/D,DOLARES AMERICANOS,N/D,RG - 192,N/D,N/D,CHINA,0,29,RED GLOBE,114,0,0,0,934.8,11.226,18.605,1,0,0,0,A TIEMPO,MAD.8.2/114,8.2,114
100,N/D,"RIVERKING INTERNATIONAL CO., LTD",N/D,N/D,N/D,1/01/1900,1/01/1900,1/01/1900,1/01/1900,N/D,DOLARES AMERICANOS,N/D,RG - 193,N/D,N/D,CHINA,0,29,RED GLOBE,114,0,0,0,934.8,13.937,20.833,1,0,0,0,A TIEMPO,MAD.8.2/114,8.2,114
100,N/D,"RIVERKING INTERNATIONAL CO., LTD",N/D,N/D,N/D,1/01/1900,1/01/1900,1/01/1900,1/01/1900,N/D,DOLARES AMERICANOS,N/D,RG - 194,N/D,N/D,CHINA,0,29,RED GLOBE,114,0,0,0,934.8,16.988,25.699,1,0,0,0,A TIEMPO,MAD.8.2/114,8.2,114
100,N/D,"RIVERKING INTERNATIONAL CO., LTD",N/D,N/D,N/D,1/01/1900,1/01/1900,1/01/1900,1/01/1900,N/D,DOLARES AMERICANOS,N/D,RG - 211,N/D,N/D,CHINA,0,29,RED GLOBE,114,0,0,0,934.8,14.928,21.481,1,0,0,0,A TIEMPO,MAD.8.2/114,8.2,114
100,N/D,"RIVERKING INTERNATIONAL CO., LTD",N/D,N/D,N/D,1/01/1900,1/01/1900,1/01/1900,1/01/1900,N/D,DOLARES AMERICANOS,N/D,RG - 243,N/D,N/D,CHINA,0,29,RED GLOBE,114,0,0,0,934.8,15.633,22.601,1,0,0,0,A TIEMPO,MAD.8.2/114,8.2,114
100,N/D,"RIVERKING INTERNATIONAL CO., LTD",N/D,N/D,N/D,1/01/1900,1/01/1900,1/01/1900,1/01/1900,N/D,DOLARES AMERICANOS,N/D,RG - 257,N/D,N/D,CHINA,0,29,RED GLOBE,114,0,0,0,934.8,17.857,25.781,1,0,0,0,A TIEMPO,MAD.8.2/114,8.2,114
100,N/D,"RIVERKING INTERNATIONAL CO., LTD",N/D,N/D,N/D,1/01/1900,1/01/1900,1/01/1900,1/01/1900,N/D,DOLARES AMERICANOS,N/D,RG - 319,N/D,N/D,CHINA,0,29,RED GLOBE,114,0,0,0,934.8,19.027,25.886,1,0,0,0,A TIEMPO,MAD.8.2/114,8.2,114
100,N/D,"RIVERKING INTERNATIONAL CO., LTD",N/D,N/D,N/D,1/01/1900,1/01/1900,1/01/1900,1/01/1900,N/D,DOLARES AMERICANOS,N/D,RG - 326,N/D,N/D,CHINA,0,29,RED GLOBE,114,0,0,0,934.8,23.527,31.25,1,0,0,0,A TIEMPO,MAD.8.2/114,8.2,114
100,N/D,"RIVERKING INTERNATIONAL CO., LTD",N/D,N/D,N/D,1/01/1900,1/01/1900,1/01/1900,1/01/1900,N/D,DOLARES AMERICANOS,N/D,RG - 327,N/D,N/D,CHINA,0,29,RED GLOBE,114,0,0,0,934.8,22.919,30.469,1,0,0,0,A TIEMPO,MAD.8.2/114,8.2,114
100,N/D,"RIVERKING INTERNATIONAL CO., LTD",N/D,N/D,N/D,1/01/1900,1/01/1900,1/01/1900,1/01/1900,N/D,DOLARES AMERICANOS,N/D,RG - 358,N/D,N/D,CHINA,0,29,RED GLOBE,114,0,0,0,934.8,18.809,25.798,1,0,0,0,A TIEMPO,MAD.8.2/114,8.2,114
100,N/D,"RIVERKING INTERNATIONAL CO., LTD",N/D,N/D,N/D,1/01/1900,1/01/1900,1/01/1900,1/01/1900,N/D,DOLARES AMERICANOS,N/D,RG - 364,N/D,N/D,CHINA,0,29,RED GLOBE,114,0,0,0,934.8,16.078,22.779,1,0,0,0,A TIEMPO,MAD.8.2/114,8.2,114
100,N/D,"RIVERKING INTERNATIONAL CO., LTD",N/D,N/D,N/D,1/01/1900,1/01/1900,1/01/1900,1/01/1900,N/D,DOLARES AMERICANOS,N/D,RG- 256,N/D,N/D,CHINA,0,29,RED GLOBE,114,0,0,0,934.8,17.235,25,1,0,0,0,A TIEMPO,MAD.8.2/114,8.2,114
100,N/D,"RIVERKING INTERNATIONAL CO., LTD",N/D,N/D,N/D,1/01/1900,1/01/1900,1/01/1900,1/01/1900,N/D,DOLARES AMERICANOS,N/D,RG_463,N/D,N/D,CHINA,0,21,RED GLOBE,114,0,0,0,934.8,13.534,18.609,1,0,0,0,A TIEMPO,MAD.8.2/114,8.2,114
100,N/D,"RIVERKING INTERNATIONAL CO., LTD",N/D,N/D,N/D,1/01/1900,1/01/1900,1/01/1900,1/01/1900,N/D,DOLARES AMERICANOS,N/D,RG_510,N/D,N/D,CHINA,0,21,RED GLOBE,114,0,0,0,934.8,14.4,20.71,1,0,0,0,A TIEMPO,MAD.8.2/114,8.2,114
100,N/D,"RIVERKING INTERNATIONAL CO., LTD",N/D,N/D,N/D,1/01/1900,1/01/1900,1/01/1900,1/01/1900,N/D,DOLARES AMERICANOS,N/D,RG_530,N/D,N/D,CHINA,0,21,RED GLOBE,114,0,0,0,934.8,10.782,16.512,1,0,0,0,A TIEMPO,MAD.8.2/114,8.2,114
100,N/D,"RIVERKING INTERNATIONAL CO., LTD",N/D,N/D,N/D,1/01/1900,1/01/1900,1/01/1900,1/01/1900,N/D,DOLARES AMERICANOS,N/D,RG-350,N/D,N/D,CHINA,0,21,RED GLOBE,114,0,0,0,934.8,16.362,23.042,1,0,0,0,A TIEMPO,MAD.8.2/114,8.2,114
102,N/D,"RIVERKING INTERNATIONAL CO., LTD",N/D,N/D,N/D,1/01/1900,1/01/1900,1/01/1900,1/01/1900,N/D,DOLARES AMERICANOS,N/D,FEX FE01-0000207,N/D,N/D,CHINA,0,29,RED GLOBE,114,0,0,0,934.8,24.541,32.525,1,0,0,0,A TIEMPO,MAD.8.2/114,8.2,114
102,N/D,"RIVERKING INTERNATIONAL CO., LTD",N/D,N/D,N/D,1/01/1900,1/01/1900,1/01/1900,1/01/1900,N/D,DOLARES AMERICANOS,N/D,FEX FE01-0000235,N/D,N/D,CHINA,0,29,RED GLOBE,114,0,0,0,934.8,24.787,32.813,1,0,0,0,A TIEMPO,MAD.8.2/114,8.2,114
102,N/D,"RIVERKING INTERNATIONAL CO., LTD",N/D,N/D,N/D,1/01/1900,1/01/1900,1/01/1900,1/01/1900,N/D,DOLARES AMERICANOS,N/D,FEX FE01-0000296,N/D,N/D,CHINA,0,29,RED GLOBE,114,0,0,0,934.8,20.63,28.125,1,0,0,0,A TIEMPO,MAD.8.2/114,8.2,114
