idcobrarpagardoc,FECHA_FACTEX,FACT_EXPORT,idclieprov,CLIENTE_EXT,VARIEDAD,VARIEDAD2,PtoDestino,NRO_CONTENEDOR,CANTIDAD_KG,PP_FACTURA,sub_total,PRIMER_ADELANTO,SEGUNDO_ADELANTO,LIQUIDACION,PP_VENTA,PP_FOB,PP_CAMPO,PRI_ADEL,SEG_ADEL,LIQ_ADEL,PAIS,CONTINENTE,COSTO_FOB,EST_LIQ,COSTO_CAMPO,fecha,ADELANTO,NDEBITO,KG_LIQ,MONTO_LIQ,POR_L,div_cont,div_cont_liq
_6AZ15CHO055387,2022-04-06 19:17:27,INV-FE01-0000868,EXP00000013,TOM LANGE CO INT' L DBA SEVEN SEAS,PRIMOSOLE,PRIMOSOLE,PHILADELPHIA - USA,TTNU-850884-5,15868.0,1.1,17454.8,11980.0,,8332.87,2.456424,0.8709829285462,0.411524,SI,NO,SI,EEUU,AMERICA DEL NORTE,1.0582101372756,SI,0.459457,2022-04-06 19:17:27,17454.8,4206.352912,15868.0,13820.75711,TTNU-850884-5,0.69816965857,0.69816965857
_6AZ15M19R55387,2022-04-06 00:00:00,INV-FE01-0000869,EXT0000050 ,CLASSIC HARVEST LLC,PRIMOSOLE,PRIMOSOLE,PHILADELPHIA - USA,TRIU-898290-4,22936.0,1.1,25229.6,15160.0,,11253.58,2.169351,1.151621032438,0.687053,SI,NO,SI,EEUU,AMERICA DEL NORTE,1.0177306417858,NO,0.464567,2022-04-06 00:00:00,25229.6,2561.538352,0.0,0.0,0,1.0,0.0
_6B00P5DGA37112,2022-04-07 00:00:00,INV-FE01-0000870,EXP00000012,"ESU FARM, LLC",PRIMOSOLE,PRIMOSOLE,PHILADELPHIA - USA,MNBU-912257-5,22880.0,1.1,25168.0,12584.0,,14898.0,1.960795,1.2011363636363,0.723946,SI,NO,SI,EEUU,AMERICA DEL NORTE,0.759659090909,NO,0.477189,2022-04-07 00:00:00,25168.0,2726.6096,0.0,0.0,0,1.0,0.0
_6B5189FFK37112,2022-04-12 00:00:00,INV-FE01-0000879,EXP00000003,SEALD SWEET INTERNATIONAL,PRIMOSOLE,PRIMOSOLE,PHILADELPHIA - USA,SUDU-627470-7,23040.0,1.1,25344.0,7200.0,,20513.47,2.041294,1.2028415798611,0.737993,SI,NO,SI,EEUU,AMERICA DEL NORTE,0.838453125,SI,0.464848,2022-04-12 00:00:00,25344.0,2369.45664,23040.0,27713.47,SUDU-627470-7,1.0,1.0
_6B7015JZ755387,2022-04-13 00:00:00,INV-FE01-0000880,EXP00000003,SEALD SWEET INTERNATIONAL,PRIMOSOLE,PRIMOSOLE,PHILADELPHIA - USA,MNBU-353077-5,23040.0,1.1,25344.0,7200.0,,22723.47,1.981406,1.29876171875,0.832767,SI,NO,SI,EEUU,AMERICA DEL NORTE,0.68264453125,NO,0.465993,2022-04-13 00:00:00,25344.0,4579.45344,0.0,0.0,0,1.0,0.0
_6B701EBPG55387,2022-04-13 00:00:00,INV-FE01-0000881,EXP00000027,SALIX FRUITS LLC,PRIMOSOLE,PRIMOSOLE,PHILADELPHIA - USA,MNBU-416388-5,22312.0,1.4,31236.8,13804.0,,13393.39,1.969702,1.2189579598422,0.745877,SI,NO,SI,EEUU,AMERICA DEL NORTE,0.7507444424524,SI,0.47308,2022-04-13 00:00:00,27197.368584,0.0,22312.0,27197.39,MNBU-416388-5,1.0,1.0
_6BA0Z1GIP37112,2022-04-16 00:00:00,INV-FE01-0000882,EXT0000050 ,CLASSIC HARVEST LLC,PRIMOSOLE,PRIMOSOLE,PHILADELPHIA - USA,HLBU-938136-6,23040.0,1.1,25344.0,14400.0,,14728.98,2.229153,1.2642786458333,0.800407,SI,NO,SI,EEUU,AMERICA DEL NORTE,0.964875,SI,0.463871,2022-04-16 00:00:00,25344.0,3784.96512,23040.0,29128.98,HLBU-938136-6,1.0,1.0
_6BA0ZETGY37112,2022-04-16 00:00:00,INV-FE01-0000883,EXP00000013,TOM LANGE CO INT' L DBA SEVEN SEAS,PRIMOSOLE,PRIMOSOLE,PHILADELPHIA - USA,SEGU-973409-3,20736.0,1.1,22809.6,12960.0,,2884.78,1.773941,0.8200443709761,0.364034,SI,NO,SI,EEUU,AMERICA DEL NORTE,1.0237262919784,SI,0.45601,2022-04-16 00:00:00,15864.346368,1140.06528,20736.0,17004.440076,SEGU-973409-3,0.902035844788,0.902035844788
_6BD17ZBL255387,2022-04-19 00:00:00,INV-FE01-0000889,EXT0000050 ,CLASSIC HARVEST LLC,PRIMOSOLE,PRIMOSOLE,PHILADELPHIA - USA,MNBU-378882-0,23040.0,1.1,25344.0,14400.0,,16936.27,2.255108,1.3600811631944,0.892403,SI,NO,SI,EEUU,AMERICA DEL NORTE,0.89502734375,NO,0.467677,2022-04-19 00:00:00,25344.0,5992.26624,0.0,0.0,0,1.0,0.0
_6BD18Q3GJ55387,2022-04-21 20:52:02,INV-FE01-0000892,EXP00000013,TOM LANGE CO INT' L DBA SEVEN SEAS,PRIMOSOLE,PRIMOSOLE,PHILADELPHIA - USA,SMLU-547257-9,19428.0,1.1,21370.8,13380.0,,9657.82,2.228657,1.0453749124036,0.58402,SI,NO,SI,EEUU,AMERICA DEL NORTE,1.1028534512964,SI,0.461354,2022-04-21 20:52:02,16998.664596,3310.861476,19428.0,20309.543798,SMLU-547257-9,0.850911002102,0.850911002102
