Fecha,Tipo,cantidad
2018-01-01 00:00:00,PATRIMONIO,236102191.8
,RESULTEX,25714597.26
,ACTIVO_T,459466149.4
,PASIVO_T,197649360.4
,PATRIMONIO_T,261816789.1
,Activo Biológico,92415736.3
,Capital Social,69449428.39
,Cuentas por Cobrar Comerciales,89756769.54
,Cuentas por Cobrar a Relacionadas,781599.38
,Cuentas por Pagar Comerciales,24989264.65
,Cuentas por Pagar a Relacionadas,112561.05
,Efectivo y Equivalente de Efectivo,18329754.25
,Existencias,9386873.2
,Gastos Pagados por Anticipado y Otros Activos,6000321.83
,Impuestos por Recuperar,0
,"Inmueble, Maquinaria y Equipo, Neto",132717328.5
,Instrumento Financiero Derivados,1437490.68
,Instrumentos Financieros Derivados,0
,Inversiónes Mobiliarias,87952153.44
,Obligaciones Financieras,110972624.7
,Otras Cuenta por Cobrar Largo Plazo,309479.4
,Otras Cuentas por Pagar,-6226897.06
,Otras Cuentas por Pagar Largo Plazo,4400979.86
,Parte Corriente de Activo Biológico,21816133.62
,Pasivo por Impuesto a la Renta Diferido,11625472.94
,Porcion Corriente de Obligaciones Financieras,50018897.98
,Reserva Legal,32752998.29
,Resultados Acumulados,133899765.1
,Sobregiros Bancarios,318965.61
,ACTIVO_CORR,146071451.8
,ACTIVO_NCORR,313394697.6
,PASIVO_CORR,70650282.91
,PASIVO_NCORR,126999077.5
,CxC,90538368.92
,INVENTARIOS,31203006.82
,CxP,18874928.64
,CAPEX,75421168.91
,ACT_FIJ,313085218.2
,CASH,18329754.25
,DEUDA_TOT,161310488.3
,Cambios en el Valor Razonable de Activos Biológicos,0
,Costo de Venta - NIC 41,-418863.55
,Costo de Ventas,-22798033.79
,Depr. De Gastos de Administración,-43290.21
,Depr. De Gastos de Venta,-2121.57
,"Diferencia de Cambio, Neta",1301804.9
,Gastos Financieros,-21212.77
,Gastos de Administración,-1068302.07
,Gastos de Venta,-3532570.79
,Impuesto a la Renta Corriente,0
,Impuesto a la Renta Diferido,0
,Ingresos Financieros,567.07
,"Instrumentos Financieros, Netos",127943.02
,Otros Gastos,-116268.78
,Otros Gastos - NIC 41,-251380.31
,Otros Ingresos,255457.52
,Restitución de Derechos Arancelarios,1541530.34
,Ventas,50739338.25
,uti_bruta,29063971.25
,EBIT,24305495.04
,EBITDA,24350906.82
,EBT,25714597.26
,uti_neta,25714597.26
,costo_venta,-23216897.34
,EBDA,25760009.04
,ratio_liquidez,2.067528194
,ratio_rapido,1.625873815
,ratio_cash,0.259443466
,deuda_activos,0.351082421
,deuda_patrimonio,0.616119726
,apalancamiento,1.754914767
,cobertura_int,
,DEUDA_ESTR,51577908.56
,CAP_EMPL,388815866.5
,mg_ebitda,
,carga_impositiva,
,carga_intereses,
,mg_bruto,
,mg_neto,
,mg_operativo,
,ROA,
,ROE,
,ROCE,
,rotacion_trabajo,
,rotacion_fijos,
,rotacion_activos,
,rotacion_cxc,
,rotacion_inventarios,
,rotacion_cxp,
,dias_inventario,
,dias_cxc,
,dias_cxp,
,ciclo_operativo,
,ciclo_caja,
,anos_d_estr,
,Generacion_T_CAJA,
,DEUDA_ESTRUCTURAL,
,deuda_ebitda,
,ventas12M,
,utinet12M,
,EBITDA12M,
2018-02-01 00:00:00,PATRIMONIO,236102191.8
,RESULTEX,21832408.14
,ACTIVO_T,435731936.9
,PASIVO_T,177797336.9
,PATRIMONIO_T,257934599.9
,Activo Biológico,92345507.02
,Capital Social,69449428.39
,Cuentas por Cobrar Comerciales,60948934.32
