FECHA,MONEDA_ORIGEN,MONEDA_DESTINO,TIPO_CAMBIO
29-Feb-20,YUANES,DOLARES AMERICANOS,0.153108
29-Feb-20,EUROS,DOLARES AMERICANOS,121.243
29-Feb-20,DOLARES AMERICANOS,DOLARES AMERICANOS,1
29-Feb-20,SOLES,DOLARES AMERICANOS,0.278419
29-Feb-20,YUANES,EUROS,0.126284
29-Feb-20,EUROS,EUROS,1
29-Feb-20,DOLARES AMERICANOS,EUROS,0.824792
29-Feb-20,SOLES,EUROS,0.229621
29-Feb-20,YUANES,YUANES,1
29-Feb-20,EUROS,YUANES,791.869
29-Feb-20,DOLARES AMERICANOS,YUANES,6.53133
29-Feb-20,SOLES,YUANES,1.8181
29-Feb-20,YUANES,SOLES,0.550025
29-Feb-20,EUROS,SOLES,4.355
29-Feb-20,DOLARES AMERICANOS,SOLES,3.5917
29-Feb-20,SOLES,SOLES,1
