item,id,idclieprov,razon_social,iddocumento,documento,fecha,vencimiento,vencimiento_aux,diasemana,semana,glosa,idmoneda,tipo_moneda,semana_anterior,importemof,importemex,idestado,SemanaTexto,Año,NombreMes,SemanaColumna,DocumentoFila,moneda,importe_origen
646,_60E0L6T8Z8404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0000448,22/03/2021 00:00,6/05/2021 00:00,6/05/2021 00:00,7,18,SERVICIO LOGISTICO,02,E,0,6702.68,1804.22,AP,18,2021,Mayo,Sem 18,OSR 0001-0000448  F.Emision(22/03/2021) & F.Venc.(06/05/2021),US$,
647,_60E0P17318404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0000449,22/03/2021 00:00,6/05/2021 00:00,6/05/2021 00:00,7,18,SERVICIO LOGISTICO,02,E,0,6702.68,1804.22,AP,18,2021,Mayo,Sem 18,OSR 0001-0000449  F.Emision(22/03/2021) & F.Venc.(06/05/2021),US$,
648,_60E0P4Q928404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0000450,22/03/2021 00:00,6/05/2021 00:00,6/05/2021 00:00,7,18,SERVICIO LOGISTICO,02,E,0,6702.68,1804.22,AP,18,2021,Mayo,Sem 18,OSR 0001-0000450  F.Emision(22/03/2021) & F.Venc.(06/05/2021),US$,
649,_60E0P884H8404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0000451,22/03/2021 00:00,6/05/2021 00:00,6/05/2021 00:00,7,18,SERVICIO LOGISTICO,02,E,0,6702.68,1804.22,AP,18,2021,Mayo,Sem 18,OSR 0001-0000451  F.Emision(22/03/2021) & F.Venc.(06/05/2021),US$,
674,_60E0KS04X8404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0000445,22/03/2021 00:00,6/05/2021 00:00,6/05/2021 00:00,7,18,SERVICIO LOGISTICO,02,E,0,6400.2,1722.8,AP,18,2021,Mayo,Sem 18,OSR 0001-0000445  F.Emision(22/03/2021) & F.Venc.(06/05/2021),US$,
676,_60E0L2HT08404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0000446,22/03/2021 00:00,6/05/2021 00:00,6/05/2021 00:00,7,18,SERVICIO LOGISTICO,02,E,0,6702.68,1804.22,AP,18,2021,Mayo,Sem 18,OSR 0001-0000446  F.Emision(22/03/2021) & F.Venc.(06/05/2021),US$,
677,_60E0L51BV8404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0000447,22/03/2021 00:00,6/05/2021 00:00,6/05/2021 00:00,7,18,SERVICIO LOGISTICO,02,E,0,6702.68,1804.22,AP,18,2021,Mayo,Sem 18,OSR 0001-0000447  F.Emision(22/03/2021) & F.Venc.(06/05/2021),US$,
265,_5Z60WYJSH8404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0000050,5/02/2021 00:00,22/03/2021 00:00,22/03/2021 00:00,4,12,SERVICIO LOGISTICO,02,E,0,12690.9,3479.82,AP,12,2021,Marzo,Sem 12,OSR 0001-0000050  F.Emision(05/02/2021) & F.Venc.(22/03/2021),US$,
2360,_62D0MRMXF8404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0001543,2/06/2021 00:00,17/07/2021 00:00,17/07/2021 00:00,2,29,SERVICIO LOGISTICO,02,E,0,2268.55,590,AP,29,2021,Julio,Sem 29,OSR 0001-0001543  F.Emision(02/06/2021) & F.Venc.(17/07/2021),US$,
2373,_62E0JVMRZ8404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0001551,3/06/2021 00:00,18/07/2021 00:00,18/07/2021 00:00,3,29,SERVICIO LOGISTICO,02,E,0,6380.02,1652,AP,29,2021,Julio,Sem 29,OSR 0001-0001551  F.Emision(03/06/2021) & F.Venc.(18/07/2021),US$,
