;ACTIVO;PASIVO;PATRIMONIO;ACTIVO CORRIENTE;PASIVO CORRIENTE;ACTIVO NO CORRIENTE;PASIVO NO CORRIENTE;Caja Bancos;Sobregiros Bancarios;Clientes;Anticipos de Clientes;Cuentas por Cobrar a Acc. y Personal;Cuentas por Cobrar Diversas;Existencias;Inmueble, Maquinaria y Equipo;Intangibles;Activos Diferidos;Depreciación y Amortizacion Acumulada;Tributos por Pagar;Remuneraciones por Pagar;Proveedores;Anticipos de Proveedores;Cuentas por Pagar Diversas;Capital Social;Reservas;Resultados Acumulados;Pasivo Diferido;Desvalorización de Existencias;COSTO DEL SERVICIO;VENTAS DE MERCADERIAS;OTROS INGRESOS;GANANCIA POR DIFERENCIA DE CAMBIO;GASTOS ADMINISTRATIVOS;GASTOS NO DEDUCIBLES;GASTOS DE VENTAS;PERDIDA POR DIFERENCIA DE CAMBIO;GASTOS FINANCIEROS;COSTO DE VENTAS DE MERCADERIAS;INGRESOS FINANCIEROS;COSTO DE PRODUCTOS MANUFACTURADOS
2022-11-01 00:00:00;1911349.363;525894.0356;98364.80012;1492554.563;513151.8341;434340.0668;10626.73878;356740.5256;352830.2046;350279.2356;-23.2523362;293608.9986;378220.0056;14987.45983;193338.329;241547.1745;79347.69478;0;130886.4463;1586.030663;4.787178002;118053.2061;16166.35852;0;0;98364.80012;10626.73878;3374.93;9706014.739;15.65106751;0;-19.81673247;36276.76939;93149.04129;24415.40088;516202.1667;48709.60953;156156.0492;0;75782.00181
2022-12-01 00:00:00;1873626.164;497745.7341;100087.7956;1455807.28;484695.499;436927.681;10495.37513;315574.0379;311659.9277;349741.8952;-23.23538512;298452.9734;379289.8513;12711.99356;193206.5237;244140.0792;91252.91951;0;139568.4584;751.4188083;4.980994013;118295.3877;17221.61975;0;0;100087.7956;10495.37513;3374.93;9802934.39;15.65106751;0;-20.21262663;36710.58869;94250.99621;24556.55936;521113.26;48961.00324;156718.9299;0;77246.46302
2023-01-01 00:00:00;1939553.339;519088.3514;100089.3624;1517082.657;506738.6064;441180.0793;10002.08682;320364.2628;316486.5314;383858.5227;79.91820968;300404.3845;400122.2955;15984.90535;195024.6555;248132.2735;91453.97155;0;152402.901;742.2460145;4.897421905;118800.6941;18045.75108;0;0;100089.3624;10002.08682;3374.93;9900227.076;15.40596554;0;-20.49468304;36865.39844;94326.31978;24548.1599;525318.6177;49106.80777;157594.6226;0;77896.66996
2023-02-01 00:00:00;2028113.194;564594.91;100089.3624;1594104.538;553864.5558;445217.9191;9447.08423;363786.9181;359795.5328;381718.0411;79.91422301;327948.7328;393073.6931;16612.41781;196578.8062;251454.4531;91451.78266;0;161669.3944;742.804815;4.894497884;118960.1737;19086.94346;0;0;100089.3624;9447.08423;3374.93;9997189.862;15.40596554;0;-20.69563528;37147.10893;96097.19728;24639.88947;533144.8749;49349.05365;157963.936;0;77896.44311
2023-03-01 00:00:00;1980874.936;438601.165;100089.3624;1533865.443;427357.9099;452182.513;10149.76262;325992.8339;321719.2813;369323.1895;-23.24990332;328355.3838;380892.313;17422.82128;201017.7204;254699.6477;96275.48823;0;103709.8219;1201.060603;4.925616685;122082.0656;9630.632358;0;0;100089.3624;10149.76262;3374.93;10094159.32;15.40596554;0;-20.83880453;37402.50196;97873.28893;24763.79343;538991.0217;49519.36743;158097.5094;0;78826.21603
2023-04-01 00:00:00;2034212.995;413400.0983;100089.3624;1585437.707;401097.0368;455079.6673;10451.5728;332041.0804;326366.5289;390117.89;101.700328;349922.517;382065.0161;16121.71183;202280.7628;256788.4143;95154.15505;0;73594.76719;1200.689024;11.72566212;122963.3236;12404.43979;0;0;100089.3624;10451.5728;3374.93;10189619.3;15.27543216;0;-22.39878779;37639.46638;99914.08611;24879.57325;542013.7153;49661.68625;158876.6977;0;79670.89855
2023-05-01 00:00:00;2049088.877;438684.3424;100089.3624;1598412.837;425720.5685;457693.1063;10807.61238;364005.5394;338444.1879;372970.8691;-31.13028091;351275.2034;387494.6407;16492.24486;203516.1948;258639.4271;94772.00719;0;77847.89359;1201.661537;6.503485755;122988.3836;13358.33634;0;0;100089.3624;10807.61238;3374.93;10283940.15;15.15795213;0;-23.42675977;37660.61818;101979.7464;24757.19808;547858.5244;50003.55426;158978.2108;0;79587.57614
2023-06-01 00:00:00;2068267.679;448846.2042;100089.3624;1608250.061;435003.3607;460712.3708;11081.51404;362780.1688;346159.0946;381118.8013;-17.73761974;363771.8975;386238.0443;16018.87727;204193.6092;260799.1389;93644.79004;0;84038.23095;1201.128313;8.155942063;128705.2982;14723.71751;0;0;100089.3624;11081.51404;3374.93;10377604.42;14.82785727;0;-24.16391838;37922.92312;103974.5804;24911.18173;555459.94;50141.0211;159765.5597;0;79880.89939
2023-07-01 00:00:00;2073520.473;459069.9393;100089.3624;1606307.404;444119.1809;464415.1474;11376.93519;355628.6411;346800.1193;386527.7236;-30.11525845;361885.6288;387316.2945;16001.26034;205765.2027;262742.0101;92598.40088;0;93495.03029;1199.978201;8.694026146;128522.2697;16111.60275;0;0;100089.3624;11376.93519;3374.93;10475768.31;14.6249372;0;-24.68883672;38187.75294;106316.0824;25031.75269;562017.6778;50261.69597;160594.6179;0;82734.43867
2023-08-01 00:00:00;2081320.417;507964.4506;100089.3624;1615233.687;492056.8142;467965.2648;11881.22851;380450.4127;374567.3234;380907.7862;-16.87153562;369611.8896;386155.6162;14335.98989;207813.9708;265043.8943;91922.15898;0;107433.305;1200.552444;7.710651602;127222.4667;16401.87345;0;0;100089.3624;11881.22851;3374.93;10577854.82;14.6249372;0;-25.06283257;38428.75051;107316.7934;25153.62226;570154.429;50364.9025;161716.0318;0;85308.74775
2023-09-01 00:00:00;2079681.905;540253.3693;100089.3624;1625973.442;523154.053;462959.1401;12478.05305;392503.1863;387580.219;378462.7353;-17.01415753;366462.6342;395722.7711;14658.30864;200384.3598;266497.0057;91244.87394;0;116767.6029;1198.904217;8.718725567;131219.6467;17376.78221;0;0;100089.3624;12478.05305;3374.93;10671119.57;14.6249372;0;-25.32928656;38397.03703;108885.8974;25264.31859;574856.4501;50905.06429;162660.8189;0;86393.17935
2023-10-01 00:00:00;2117179.163;560170.5083;100089.3624;1651822.988;544272.3745;466971.5705;11818.64668;405730.5779;400807.2026;378372.823;-17.03212601;372474.7384;410628.7894;14841.71654;202501.1237;268690.8241;89333.56509;0;124544.7388;1199.786025;8.183078708;130885.2613;18252.32855;0;0;100089.3624;11818.64668;3374.93;10771035.42;14.6249372;0;-25.51912284;38599.63253;111172.5693;25339.20136;582390.154;51451.61183;163236.6698;0;88400.10229
